,Context before,token,Context after,Sense
854,"at ticity was entirely destroyc ci wa= '24 ed , and a like additional 7 ' > b= '29 ;",weight,"would have de-g c= *41 ; t stroyed the form of the cf d= 36 beam . } , /",W
855,"Severus , as far as he had observed , the Silver continued at a kind of stay in respect of",weight,", excepting only such coins as upon some extraordinary occasion , both then , and in the first Emperors time",M
856,"are equivalent to the weight of 40 cubic tS inches of the gas , it appears that loo parts by",weight,"of this gas consist of ; 61.4 silex 38.6 fluoric acid 100.0 That this estimate may be correct , it",M
857,"and of the Hedgehog , therefore , present unusual difficulties ; and conclusions drawn from them are not of great",weight,", unless shown to be in accordance with the structure of the gland in other animals . In what way",MET
858,"station was Brientz , and the intercepted stratum of air had 6800 English feet of thickness , corresponding in its",weight,to about one-fourth of the entire atmosphere . Frequent observations were simultaneously made with the actinometer and other meteorological instruments,M
859,". cms . , and 1 hour . Experiment XVI.\#151 ; February 27 , 1902 . +1 ' C. 1st",weight,", 1*68 grammes . 1 + 0*9 to 1*1 ' C. 2nd weight , 1*63 grammes , j Area ,",M
860,", , Tube and vanadic acid after heating 1 hour in dry air . 43 6562 , , Hence the",weight,"of vanadium pentoxide taken -5 1895 grms. lost 00004grm . , a weight perfectly appreciable with the balance employed ,",M
861,) Difference between blood volume calculated and observed . Blood volume calculated as per cent. ( 4'92 ) of body,weight,. Difference between blood volume calculated and observed . grammes . c.c. C.C. per cent. c.c. per cent. * 1,M
862,", and separate inflammable air in the temperature of 55~ ; whereas nitrous acid , diluted with 15 times its",weight,"of water , will have no visible effect on iron in that temperature . The calces of iron , if",M
863,"become turbid , a sediment was deposited , which was a very light , white , impalpable powder , in",weight,", when dried , 26 grains . The liquid from which this powder was precipitated , being evaporated , afforded",M
864,"an easy solution : because a narrow rectilineal canal of any length drawn from the centre , will have a",weight,proportional to the quantity of fluid it contains . If a fluid spheroid revolve about the polar axis with a,W
865,old boards and shingles from the dilapidated houses and cover their heads . Stones up to half a pound in,weight,"were now falling , while the sulphurous fumes and fine light dust rendered breathing difficult . So , with at",M
866,"average , 0*71\#151 ; 0*72 , exactly as is the case if the blood volume be calculated from the body",weight,according to our formula . It is therefore clear from the above table that- the average percentage deviation between the,M
867,"known volume of each nitrite was taken . The relative density of each substance having been previously determined , the",weight,"corresponding to the volume taken was readily calculated , and from this was ascertained the amount of the active nitrite",M
868,"ac , The tangential force on the bottom =f , ab , and these must be in equilibrium with the",weight,of the mass on the plane whose inclination is i. Hence if w be the weight of a unit of,W
869,".0052 .0050 .0026 .00264 .00254 1 v "" Experiment XIX.\#151 ; March 7 , 1902 . 30,6 C. | 1st",weight,", 1*40 grammes . | 2nd weight , 1*45 grammes . J Area , 45*8 sq . centims. + 3'*6",M
870,"experiments , is therefore 75 lbs. Now it appears by the preceding calculations , that to descend by its own",weight,", at the rate at which Prof. Tyndall observed the ice of the Mer de Glace to be descending at",W
871,". Time of diffusion 11*43 days . The salt diffused was precipitated by sulphuric acid , and calculated from the",weight,"of the sulphate of baryta formed . 1 . Nitrate of baryta , 1 per cent. ; density 1'0083 .",M
872,", and not the coin of that name ; for , during the reign of Henry VII . , the",weight,"of the groat was 48 grains , and that of the shilling 144 grains , which gives only 12 grains",M
873,"end of the balance-case . By sliding the tube in the opposite direction , the loop with the pan and",weight,"suspended from it , is brought near to the left-hand end of the beam , to which it is transferred",W
874,"the Water , which from FG arose up to E H ; and therefore the Water became heavier by the",weight,of a Bulk of Water equal to the Lead . Having with another Weight in C made up the Counterpoise,W
875,"the lowest station . In M. David 's case there is a decrease of 8 per cent , in the",weight,of air expired at the summit of the Col for 1 grm. C02 -compared with that expired near the Lake,M
876,at may be briefly summed up as follows : Finely carded and carefully purified cotton-wool will sustain an increase of,weight,"varying between 81'8 and 82*5 upon 100 parts of cotton , if submitted for 24-48 hours to treatment with a",M
877,"the experiment of August 18-19 , the translocation was rapid and uniform till midnight , but by 6 a.m. the",weight,"had increased once more : the morning was bright , the sky clear , and assimilation had begun . The",M
878,"note 1 p. 143 . 150 Prof. D. Mendeleeff . On Weight of a Cubic [ Dec. 5 , mentioned",weight,"of a cubic inch of air ( = O'4501 A ) , and as the volume of the weights =",M
879,"the extremities the excess of weight remains about the same as before , but now between and the excess of",weight,"amounts to 155 tons on a length of about 20 feet , and between and to 80 tons on a",W
880,"the lower extremities of the brackets , two holes were made for screws similar to those above mentioned . The",weight,"of the frame was 87 lb. A bell metal support , furnished with agate planes on which the knife edge",M
881,"averdupois bell-weights , and severally marked as follows , excepting the variations for the number of pounds in each respective",weight,". ' ( The marks are : VII . A. , AN0 DO , a crowned E. L. , 1588",N
882,"the fat , may be relatively heavier than the muscle in a third , and since in relation to body",weight,"the amount of food and the activity of the vital functions vary much , it is impossible that there should",M
883,"is also simply constituted . Propionic acid on the other contains molecular aggregates , and from surface-energy measurements the molecular",weight,"of the liquid is almost 130 , a number which is exactly the same the molecular weight of gaseous and",M
884,"to obtain normal values . ) formula used in the reduction of the ervations is where required vapour density ,",weight,"of substance taken , temperature of vapour-jacket , V observed volume , corrected for meniscus and volume of le ,",M
885,"weight over buoyancy , or vice ) acting on the 20-feet division to which the station corresponds . If the",weight,"be in excess , the resultant force of course acts downward ; and if the buoyancy be in excess ,",W
886,"' loaded with the Scale S , and Weights E , which amounted to 16 Pounds . A little more",weight,"added separated them , and , upon viewing the touching Surfaces , it appeared that they did not exceed a",W
887,"weights P , Q are very nearly equal , the balance may be so adjusted by placing a small constant",weight,"in one of the pans or hanging it on the beam , that , on interchanging the weights P ,",W
888,more copper thrown down on the cathode plate in the colder than in the warmer solution . The loss of,weight,"of the anode plate was always greater than the gain at the cathode , and the difference in this respect",M
889,"have been large , and the errors of the comparisons between themselves might by their accumulation sensibly affect the resulting",weight,"of 7000 grains . Moreover , the repeated comparison of weights made up of the sum of several others ,",M
890,"might even be expected from analogy that as a real weight may have several symbols , so the absence of",weight,"should be expressed in more than one way . Nor is it , in truth , more singular or paradoxical",W/M
891,inches ; while the whole motion of the pieces in the experiment of Table X. was only 62205 . The,weight,"by which the pieces were pressed was the same in both experiments , so that the pieces sustained eleven times",W
